timestamp_ms,label,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z
1777910062424,-,-0.226432,0.485316,0.810568,-0.0891863,0.0827722,-0.0158825,0.238,7.1932,3.7352
1777910062433,-,-0.223748,0.48434,0.804468,-0.0933931,0.0726724,-0.0114114,0.4284,12.9478,6.72336
1777910062442,-,-0.221796,0.487756,0.80032,-0.0927243,0.074454,-0.00791629,0.58072,17.5514,9.11389
1777910062518,-,-0.209352,0.475556,0.776652,-0.042328,0.213426,-0.0311292,0.825776,21.2567,11.5723
1777910062527,-,-0.228872,0.47946,0.769332,-0.0249183,0.195405,-0.0564801,0.708221,24.193,13.1834
1777910062586,-,-0.183732,0.534604,0.64172,0.115275,0.323687,0.0290411,0.636577,26.738,14.4752
1777910062646,-,-0.142496,0.388448,0.3965,0.758211,0.411652,0.222074,0.355261,28.9196,15.2285
1777910062705,-,-0.23424,0.45262,0.778848,-1.6321,0.13157,0.145716,-0.110591,30.6985,15.8536
1777910062782,-,-0.327936,0.302072,0.968924,-1.94029,0.406459,0.0617223,-0.236873,30.8504,16.4937
1777910062842,-,-0.352092,0.236924,1.08409,-2.30955,-0.061158,0.449011,-0.522698,29.7623,16.9302
1777910062902,-,-0.260104,0.138592,1.31516,-1.9748,-0.150344,0.230932,-0.488159,28.035,16.9685
1777910062961,-,-0.194712,0.127612,1.25514,-0.637005,-0.0675721,0.550415,-0.662127,26.166,17.0804
1777910063038,-,-0.293288,0.16592,1.33907,0.114664,0.176163,0.252618,-0.717302,24.4356,16.9543
1777910063047,-,-0.263276,0.223992,1.30564,0.481184,-0.12255,0.372347,-0.778241,23.2921,16.9935
1777910063106,-,-0.313052,0.2867,1.40398,1.29455,0.388744,0.323784,-0.770993,22.8365,17.204
1777910063166,-,-0.251564,0.418948,1.32907,1.60792,-0.377281,0.271249,-0.843594,23.1832,17.238
1777910063225,-,-0.166164,0.428464,1.16754,1.92069,-0.742578,0.205887,-0.644076,24.0877,17.2484
1777910063302,-,-0.138836,0.584136,1.00162,2.39044,-0.778314,0.296295,0.66354,26.7154,17.8139
1777910063361,-,-0.110044,0.613416,0.804224,3.20198,-0.213263,-0.097408,1.51923,30.0103,18.1627
1777910063420,-,-0.071492,0.594628,0.349652,2.40144,-0.943247,0.295684,2.42779,34.0239,17.8202
1777910063480,-,-0.020008,0.643916,0.4636,1.31899,-0.320776,0.492688,3.64183,38.1195,17.0309
1777910063539,-,-0.016348,0.741272,0.37332,1.39198,-0.329939,0.748335,5.04986,42.4152,15.7052
1777910063616,-,0.11712,0.626836,0.337208,1.39595,0.438835,0.873562,6.46749,46.4846,14.5381
1777910063675,-,0.355264,0.592432,0.283528,0.720337,-0.238614,0.757803,7.80879,49.992,13.0277
1777910063734,-,0.3721,0.491416,0.233264,0.560596,-0.477157,0.155185,9.48663,52.966,10.7582
1777910063793,-,0.476776,0.551684,0.265228,0.293037,-0.402021,-0.74798,11.2209,55.6532,9.35693
1777910063870,-,0.225456,0.60756,0.095404,0.345266,-0.734332,-1.27027,12.3003,57.7974,7.67874
1777910063879,-,0.224968,0.601948,0.183244,0.148873,-0.533968,-1.66336,13.1639,59.5127,6.33619
1777910063939,-,-0.254736,0.832528,0.132492,0.303727,-1.01869,-2.01247,13.3227,60.9858,5.19776
1777910063998,-,-0.333304,0.978684,0.14274,-0.165723,-0.386138,-1.42299,12.3466,62.2874,4.3318
1777910064057,-,-0.612684,1.05896,0.046604,0.227369,-0.321692,-1.46483,10.9552,63.1495,3.46264
1777910064134,-,-0.784216,1.12508,0.100772,-0.583249,0.18777,-0.824032,9.55659,63.7496,2.89052
1777910064193,-,-0.7076,1.12801,0.20984,-0.945492,0.557343,0.0934873,8.09607,63.3617,2.94521
1777910064252,-,-0.562908,1.05579,0.262788,-0.343179,1.45043,0.685721,6.69246,63.4098,2.88537
1777910064312,-,-0.233752,0.886696,0.35258,-0.0899755,2.06862,0.64235,5.42397,63.6498,2.9719
1777910064388,-,-0.300608,0.864248,0.247172,0.0184531,1.72165,1.07209,3.96117,63.7634,2.57912
1777910064448,-,-0.16836,0.831064,0.31354,-0.592718,1.62208,0.996957,2.80214,64.2184,1.83369
1777910064507,-,-0.217404,0.83082,0.219112,-0.655331,1.84993,1.21901,1.82451,64.5431,1.43895
1777910064566,-,-0.152988,0.75396,0.321104,-0.957099,1.97241,0.737034,1.13201,64.6125,1.02516
1777910064625,-,0.185928,0.697596,0.339404,-1.3844,1.64377,1.07545,0.460407,64.6008,1.15053
1777910064702,-,0.32086,0.74298,0.48068,-1.50443,0.86247,1.22847,-0.0768743,64.0762,1.98162
1777910064761,-,0.33306,0.933056,0.649772,-0.773839,1.32398,-0.289525,-0.8427,63.6342,2.5625
1777910064821,-,0.373076,0.861076,0.697352,-0.874937,0.200903,-0.286776,-1.51696,62.9669,3.2568
