timestamp_ms,label,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z
1777910413161,C,0.062952,1.0409,0.097356,-0.114537,0.182038,0.0833831,1.5484,14.0532,-0.7476
1777910413222,C,0.099552,1.03261,0.1281,-0.111483,0.36041,0.104153,2.89912,25.2902,-1.24488
1777910413282,C,0.109312,1.05286,0.149328,-0.0956004,0.272446,0.217163,3.7949,34.3301,-1.7911
1777910413341,C,0.142496,1.03358,0.16714,0.142026,0.224493,0.180511,4.65712,41.5173,-2.04608
1777910413419,C,0.180072,1.00796,0.123708,0.247095,-0.00427606,0.174097,5.53729,47.4014,-2.43487
1777910413479,C,0.221064,0.946964,0.112728,0.133474,-0.125838,0.205556,6.44303,52.1592,-3.15469
1777910413539,C,0.168116,0.955992,0.091012,0.31032,-0.189063,0.00946841,7.24603,56.0157,-3.53455
1777910413549,C,0.161528,0.951112,0.094428,0.293215,-0.213497,0.0305433,7.88842,59.101,-3.83844
1777910413558,C,0.160552,0.942328,0.090036,0.277944,-0.246484,0.0568105,8.40234,61.5692,-4.08156
1777910413636,C,0.171532,0.917684,0.065636,0.214108,-0.300851,0.0216857,8.98707,63.6501,-4.73804
1777910413698,C,0.160308,0.91378,0.050264,0.166461,-0.437685,-0.0616974,9.52766,65.3149,-5.24644
1777910413758,C,0.153964,0.903288,0.018056,0.113621,-0.502131,-0.0586431,10.1169,66.6971,-5.77635
1777910413820,C,0.15128,0.88328,0.002196,-0.000916298,-0.440434,-0.140499,10.5603,67.8589,-5.95388
1777910413829,C,0.137372,0.891576,0.003416,0.0222966,-0.419054,-0.17654,11.1111,68.7883,-6.0959
1777910413858,C,0.133224,0.907192,-0.000488,0.0540616,-0.374766,-0.226326,11.5517,69.5319,-6.20952
1777910413919,C,0.120292,0.901336,-0.013908,0.00305433,-0.446848,-0.298102,11.9377,70.3675,-6.36482
1777910413979,C,0.1281,0.905728,-0.037088,-0.0632246,-0.433714,-0.379042,12.0394,70.6888,-6.65705
1777910414038,C,0.084668,0.921344,-0.037088,0.0253509,-0.440434,-0.489303,12.1207,71.1362,-6.68924
1777910414116,C,-0.055876,0.946964,-0.022204,-0.0424551,-0.362243,-0.816421,11.917,71.5558,-7.05379
1777910414175,C,-0.122732,0.962336,-0.023912,-0.254731,-0.420275,-0.78038,11.558,71.5834,-7.28664
1777910414235,C,-0.10004,0.97112,-0.020008,-0.320704,-0.405004,-0.622472,10.9964,71.5383,-7.49811
1777910414294,C,-0.138348,0.970388,0.002684,-0.217773,-0.217163,-0.664621,10.3791,71.4911,-7.28369
1777910414353,C,-0.130296,0.937204,0.0427,-0.323759,-0.226936,-0.661873,9.59408,71.2965,-7.00295
1777910414430,C,-0.176656,0.94672,0.063684,-0.383318,-0.221133,-0.61392,8.75886,70.9728,-6.80916
1777910414490,C,-0.303536,0.969168,0.04514,-0.404698,-0.186925,-0.647517,7.93949,70.6914,-6.06893
1777910414549,C,-0.292312,0.985028,0.083692,-0.461509,-0.126144,-0.620944,6.80799,70.1975,-5.75394
1777910414608,C,-0.383324,0.986004,0.104676,-0.30696,-0.357051,-0.697608,5.75719,69.8304,-5.19675
1777910414668,C,-0.341844,0.923296,0.139568,-0.445932,-0.109039,-0.485027,4.65336,69.3015,-4.5494
1777910414746,C,-0.400404,0.949892,0.137372,-0.361327,0.195477,-0.3598,3.50148,68.7552,-3.57232
1777910414755,C,-0.39528,0.940864,0.141032,-0.366519,0.24007,-0.320704,2.57999,68.3182,-2.79066
1777910414764,C,-0.382348,0.936472,0.143716,-0.396757,0.25748,-0.288939,1.84279,67.9685,-2.16533
1777910414790,C,-0.366244,0.928176,0.15494,-0.438601,0.261145,-0.270002,1.25303,67.6888,-2.38186
1777910414799,C,-0.357948,0.907436,0.184708,-0.466701,0.22266,-0.306654,0.719626,67.0283,-2.04829
1777910414859,C,-0.387716,0.91866,0.18666,-0.493885,0.342085,-0.284052,0.1585,66.4886,-1.36983
1777910414918,C,-0.414312,0.894992,0.209352,-0.56505,0.30024,-0.0638354,-0.5256,65.9113,-0.715065
1777910414978,C,-0.321104,0.894016,0.263276,-0.700662,0.429744,0.0287107,-0.93288,65.1862,-0.000851832
1777910415055,C,-0.419924,0.953064,0.271084,-0.491441,0.490525,0.0592539,-1.5835,64.4494,0.780519
1777910415114,C,-0.355264,0.91744,0.309636,-0.485638,0.459982,0.112094,-2.1432,63.5855,1.48681
1777910415173,C,-0.338916,0.929396,0.29158,-0.297491,0.475559,0.111788,-2.70856,62.9336,2.09945
1777910415233,C,-0.3477,0.892552,0.325252,-0.234267,0.391259,0.14111,-3.30085,62.2665,2.70996
1777910415292,C,-0.391864,0.919392,0.312076,-0.102931,0.461814,0.234572,-3.84188,61.744,3.11437
1777910415369,C,-0.37942,0.8967,0.285724,-0.0500909,0.415694,0.236099,-4.1627,61.4604,3.3063
1777910415428,C,-0.379908,0.885232,0.300364,-0.0284052,0.463647,0.159741,-4.49216,61.2671,3.56344
1777910415488,C,-0.35868,0.888648,0.276208,-0.0760527,0.471588,0.266643,-4.93493,61.1629,3.73555
1777910415547,C,-0.351116,0.901092,0.27816,0.00733038,0.526566,0.215025,-5.26114,61.0011,3.69124
1777910415606,C,-0.294996,0.895724,0.282796,-0.0607811,0.490525,0.304822,-5.49412,61.0173,3.65579
1777910415683,C,-0.2928,0.91012,0.271572,0.0268781,0.441045,0.27886,-5.73649,61.2542,3.40343
1777910415747,C,-0.240584,0.892796,0.252784,-0.0137445,0.270002,0.220522,-5.95839,61.4942,3.50115
1777910415806,C,-0.1952,0.875472,0.255224,0.0546724,0.157298,0.12706,-5.97352,61.6133,3.30492
1777910415866,C,-0.238144,0.893284,0.25864,0.200669,0.177456,0.00305433,-6.05281,61.9607,2.91553
1777910415943,C,-0.267668,0.93818,0.186904,0.157603,0.129809,-0.0241292,-6.04345,62.1041,2.60683
1777910416002,C,-0.273768,0.911584,0.1891,-0.026126,0.0906904,0.0525524,-5.99116,62.2413,2.09106
1777910416061,C,-0.30256,0.934764,0.183,-0.0310923,0.107484,0.00181946,-6.05573,62.3735,1.54125
1777910416121,C,-0.284992,0.923296,0.229116,-0.174951,0.116953,0.0680983,-5.99538,62.496,1.443
1777910416180,C,-0.275964,0.91744,0.194956,-0.0314707,0.111384,0.0141012,-6.11511,62.622,1.2916
1777910416208,C,-0.289628,0.948428,0.203008,-0.356146,0.069234,0.0400629,-6.07088,62.65,1.25728
1777910416216,C,-0.245952,0.936716,0.225944,-0.484427,0.0151724,0.0681627,-6.03551,62.6724,1.22982
