timestamp_ms,label,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z
1777911156008,B,0.029524,0.9821,-0.294264,0.154854,0.177456,-0.0708604,4.1916,14.602,-4.1076
1777911156017,B,0.018544,0.96746,-0.296704,0.0129129,0.157657,-0.0399398,7.54488,26.2836,-7.39368
1777911156077,B,0.016592,0.961116,-0.264984,-0.108038,0.189422,0.0248119,10.4011,35.7745,-9.87134
1777911156136,B,0.034648,0.929152,-0.278892,0.00248567,0.0865392,-0.0906197,12.5797,43.2104,-11.9151
1777911156195,B,0.023668,0.91866,-0.274744,-0.115874,0.137037,-0.019127,14.2553,49.4391,-13.2197
1777911156222,B,0.021472,0.92964,-0.27572,-0.105518,0.147046,-0.0461327,15.5959,54.4221,-14.2633
1777911156281,B,0.036356,0.921588,-0.277184,-0.165383,0.138494,-0.0195601,16.7187,58.2685,-15.3279
1777911156340,B,0.043432,0.902312,-0.256444,-0.204784,0.102453,-0.090115,17.645,61.228,-16.0955
1777911156400,B,0.020252,0.84302,-0.236192,-0.277171,0.17484,-0.228781,18.3636,63.7244,-16.6032
1777911156477,B,0.01586,0.726144,-0.249368,-0.409424,0.119557,-0.0748434,18.8601,65.4639,-16.6566
1777911156536,B,0.027328,0.730048,-0.160796,-0.781441,0.0743527,-0.300558,19.162,67.0067,-16.562
1777911156596,B,-0.020008,0.787388,-0.144448,-0.973558,0.297319,-0.202209,19.4036,68.0282,-16.0132
1777911156655,B,0.014884,0.673928,-0.031476,-1.56579,0.218517,-0.256881,19.5073,68.7725,-15.1514
1777911156715,B,-0.061,0.742248,0.08052,-1.78173,0.452478,-0.284676,19.2486,69.0488,-13.4875
1777911156791,B,-0.166164,1.04188,0.401136,-2.11679,0.610082,-0.535741,19.0081,69.0179,-11.042
1777911156851,B,-0.05978,1.13314,0.51728,-1.80739,0.403609,-1.16768,18.0261,68.1307,-7.89001
1777911156910,B,-0.211548,1.36201,0.665876,-1.46378,0.139104,-0.709532,17.0165,66.8778,-4.88961
1777911156969,B,-0.292312,1.42642,0.65758,-0.42439,0.228291,-0.660052,15.856,65.713,-2.14488
1777911157050,B,-0.338184,1.26807,0.538996,0.179145,0.0880972,-0.155172,14.7036,64.5628,0.221693
1777911157111,B,-0.28426,1.21024,0.506788,0.808642,0.0123499,0.299617,13.8097,64.1914,1.61095
1777911157171,B,-0.204228,1.12264,0.441396,1.39843,0.13605,0.337185,13.2849,64.152,2.33596
1777911157182,B,-0.211792,1.10874,0.375028,1.3969,0.110394,0.247083,12.8651,64.1204,2.91597
1777911157259,B,-0.171044,1.02602,0.238876,1.55084,0.073131,0.587945,12.6357,64.5991,2.15638
1777911157267,B,-0.146888,0.969656,0.2257,1.45219,0.06183,0.547323,12.6034,65.3405,1.4703
1777911157330,B,-0.159576,0.875472,0.17934,1.31597,0.0642734,0.787087,12.7623,66.1632,0.0898411
1777911157393,B,-0.077104,0.819596,0.038796,1.05513,-0.00444891,0.762347,12.9846,67.3477,-1.15173
1777911157420,B,-0.06222,0.8174,0.041724,0.975408,0.00563036,0.763875,13.1625,68.2954,-2.35778
1777911157483,B,-0.187392,0.811544,-0.0488,1.0652,0.0847374,0.7147,13.876,69.0479,-3.47943
1777911157542,B,-0.006344,0.730292,-0.114436,0.586592,0.147351,0.744327,14.8444,69.7395,-5.05994
1777911157608,B,-0.017568,0.834968,-0.128832,0.494351,0.158958,0.339934,15.9383,70.2368,-6.71355
1777911157673,B,0.02806,0.867908,-0.192272,0.531309,0.548079,0.565038,17.3343,70.8419,-8.11204
1777911157702,B,0.045628,0.8601,-0.125904,0.495879,0.568848,0.392163,18.451,71.3259,-9.23083
1777911157761,B,0.088816,0.892064,-0.239852,0.327891,0.621688,0.438894,19.322,71.5283,-10.4899
