timestamp_ms,label,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z
1777909143784,A,-0.482144,0.467992,0.775188,-0.116675,0.290772,0.1799,-4.2812,7.2604,1.7696
1777909143844,A,-0.491172,0.462868,0.82472,-0.150884,0.161574,0.200364,-7.50456,13.4831,2.99768
1777909143907,A,-0.560956,0.498248,0.782264,0.0476475,0.104458,0.222355,-10.212,18.3829,4.10334
1777909143933,A,-0.500688,0.499712,0.784216,0.0775799,0.146302,0.262977,-12.378,22.3027,4.71628
1777909143941,A,-0.49288,0.498004,0.79056,0.052229,0.204945,0.262977,-13.842,25.6514,5.20662
1777909144001,A,-0.534604,0.533872,0.789096,0.113926,0.214414,0.321926,-14.8844,28.4199,5.3637
1777909144063,A,-0.524112,0.556076,0.799344,0.259618,0.146302,0.536645,-15.8807,30.6067,5.75536
1777909144140,A,-0.486292,0.56974,0.777628,0.362854,0.231212,0.742201,-16.7618,32.7986,5.78869
1777909144202,A,-0.427244,0.584624,0.79666,0.285274,-0.20128,0.85063,-17.2706,35.1513,5.80975
1777909144262,A,-0.372344,0.579744,0.757376,0.181732,-0.324675,0.770912,-17.3529,37.4422,5.9554
1777909144324,A,-0.278648,0.597068,0.7686,0.317955,-0.369573,0.704328,-17.1107,39.5942,6.12232
1777909144350,A,-0.262788,0.605852,0.7137,0.405004,-0.352775,0.598037,-16.917,41.6237,6.31466
1777909144409,A,-0.205448,0.647576,0.71126,0.323759,-0.21197,0.401338,-16.3308,43.5946,6.58612
1777909144468,A,-0.174704,0.678564,0.681492,0.455705,-0.374155,0.50091,-15.5258,45.2497,6.9041
1777909144530,A,-0.155916,0.701256,0.704428,0.43738,-0.206472,0.404393,-14.5235,46.8537,6.82528
1777909144606,A,-0.083448,0.70272,0.599508,0.540005,-0.279776,0.319788,-13.6488,48.6634,6.73982
1777909144616,A,-0.110044,0.714432,0.634644,0.297797,-0.373544,0.235183,-12.7026,50.1111,6.67146
1777909144675,A,-0.073444,0.731024,0.613172,0.626137,-0.117592,0.383929,-11.7665,51.4261,6.78757
1777909144736,A,-0.048556,0.741516,0.662948,-0.147524,-0.528093,0.490525,-10.7488,52.7749,6.63405
1777909144795,A,0.022204,0.753472,0.5612,0.536645,-0.186314,0.201891,-9.53704,54.1563,6.69044
1777909144875,A,0.030012,0.745176,0.566568,0.280387,-0.079107,0.239765,-8.14203,55.2614,6.51715
1777909144883,A,0.049044,0.77348,0.551196,0.552528,-0.0931569,0.181427,-7.02602,56.1456,6.37852
1777909144893,A,0.03416,0.789584,0.53314,0.523206,-0.127976,0.147829,-6.13322,57.0208,6.20882
1777909144920,A,0.02928,0.799832,0.518256,0.467923,-0.190895,0.211665,-5.57577,57.7211,6.07306
1777909144982,A,0.066368,0.812764,0.462136,0.192117,-0.477391,0.198837,-4.71542,58.4269,5.67604
