timestamp_ms,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z
1777909018108,-0.041236,0.470676,0.891576,-0.0122173,0.156992,0.00427606,-1.0668,8.6492,2.8308
1777909018117,-0.041968,0.470432,0.900116,0.0144144,0.175675,0.00840838,-1.92024,15.5686,5.09544
1777909018177,-0.076372,0.518744,0.87596,0.0116655,0.0431173,-0.0294653,-2.63659,21.1656,7.02195
1777909018236,-0.037088,0.5246,0.946232,0.0556478,0.210494,0.0169605,-3.33287,25.7777,8.63316
1777909018262,-0.004636,0.552904,0.909388,0.111847,0.0861833,0.0270398,-3.7835,29.501,9.93333
1777909018324,0.034404,0.580964,0.929396,0.416669,0.473166,0.113172,-4.1888,32.6756,10.7299
1777909018383,-0.07076,0.658556,0.966972,0.482948,0.429184,-0.0633683,-4.58584,35.4225,11.2831
1777909018443,-0.146644,0.80642,1.00211,0.93285,0.0162393,-0.236854,-5.10507,37.62,11.4961
1777909018522,-0.288164,0.83814,0.99186,1.01684,0.16865,-0.137588,-6.23166,40.0612,11.2521
1777909018583,-0.136884,0.752008,0.74054,1.54646,-0.275143,0.231374,-6.41613,42.6301,10.9896
1777909018593,-0.168848,0.758596,0.710772,1.51409,-0.232383,0.24634,-6.5637,44.6853,10.7797
1777909018672,-0.081496,0.741516,0.61,1.35343,-0.228718,0.408525,-6.45776,46.8671,10.2114
1777909018681,-0.039284,0.728584,0.586332,1.27524,-0.266286,0.325447,-6.21621,49.1332,9.6139
1777909018740,-0.002928,0.627812,0.51362,1.40444,-0.361275,0.410663,-5.81017,51.355,8.83352
1777909018799,0.024644,0.718336,0.375028,1.09931,-0.817897,0.505653,-5.22213,53.5076,7.63802
1777909018859,0.090768,0.763476,0.395036,0.979276,-0.264148,0.156238,-4.44931,55.7337,6.71521
1777909018940,0.103944,0.83326,0.299144,0.767,-0.227496,0.270775,-3.42785,57.8337,5.40577
1777909018949,0.071736,0.83692,0.29036,0.723323,-0.243378,0.234429,-2.61068,59.5138,4.35822
1777909018960,0.06588,0.831796,0.275964,0.679952,-0.287972,0.218851,-1.95694,60.8578,3.52017
1777909019020,0.110532,0.862296,0.309392,0.441104,-0.152665,0.476331,-0.879553,62.2467,2.37374
1777909019098,0.109312,0.865224,0.231556,0.352834,-0.0924947,0.474193,0.284758,63.5425,1.03659
1777909019158,0.175924,0.75762,0.175924,0.363829,0.219047,0.318117,1.37861,64.6184,0.129273
1777909019218,0.20862,0.698816,0.25986,-0.354854,0.21477,0.165095,2.29289,65.5463,-0.876582
1777909019278,0.195444,0.699304,0.212524,-0.0906545,0.602975,0.289712,3.13071,66.3559,-1.72047
1777909019338,0.217892,0.674904,0.160796,-0.517344,0.675363,0.119586,4.12577,67.1043,-2.02037
1777909019415,0.133956,0.770552,0.33306,-0.820333,0.89894,0.0184877,4.65301,67.4958,-2.1147
1777909019425,0.113948,0.718092,0.352092,-0.8185,0.817389,0.0652188,5.07481,67.7699,-2.12576
1777909019434,0.10492,0.695888,0.355264,-0.826747,0.781348,0.0920969,5.35065,67.9891,-2.13461
1777909019494,0.2013,0.683932,0.52094,-0.833161,0.682082,0.126916,5.42572,67.8285,-1.62649
1777909019554,0.205936,0.632204,0.3355,-0.601643,0.500045,0.127833,5.49137,67.5712,-0.923188
1777909019632,0.158844,0.700768,0.556076,-1.16456,1.05563,0.123556,4.6479,66.9117,0.269449
1777909019693,0.205692,0.795928,0.859856,-1.78733,0.958804,-0.158358,4.19712,65.785,1.48676
1777909019753,0.158844,0.79788,0.982588,-1.59552,0.935591,0.192584,3.4221,64.6596,2.47461
1777909019813,0.160796,0.783484,0.802028,-1.20671,0.376955,0.739309,2.89168,63.0481,4.07689
1777909019872,0.300852,0.614148,1.01187,-1.13768,0.248673,1.10735,2.32734,61.4677,5.63311
1777909019952,0.27206,0.763476,0.983808,-0.812086,0.0522803,1.11194,2.48067,59.7889,7.23649
1777909019963,0.362584,0.64294,1.03334,-0.719235,0.579457,1.09422,2.60334,58.4459,8.51919
1777909020024,0.526064,0.667828,1.29344,-0.254977,0.135358,0.56002,2.91427,57.338,9.91495
1777909020083,0.481412,0.6588,1.14948,0.373298,-0.152054,-0.281753,3.23582,56.6476,10.9868
1777909020143,0.434808,0.548024,1.07458,0.618866,-0.316377,-0.659267,3.41465,56.2297,11.553
1777909020221,0.34526,0.541924,0.945012,0.977749,-0.226274,-0.898726,3.73692,56.0689,11.9892
1777909020280,0.34648,0.496052,0.657336,0.806401,-0.736958,-0.803737,3.96674,56.4947,11.1426
1777909020340,0.360144,0.411872,0.603168,0.475923,-0.594321,-0.871238,4.11699,56.8858,10.8937
1777909020400,0.283772,0.494832,0.40382,-0.133415,-0.53751,-0.91186,4.18679,57.3498,10.6609
1777909020410,0.30744,0.49044,0.431392,-0.199083,-0.369217,-0.874292,4.24263,57.7211,10.4747
1777909020437,0.3294,0.3965,0.571448,-0.364017,-0.0530939,-1.03587,4.28731,57.9397,10.239
1777909020497,0.190564,0.557784,0.49654,-0.0674416,-0.619977,-1.25303,4.29505,57.9353,10.182
1777909020557,0.122976,0.648796,0.740784,-0.650512,-0.379296,-1.16476,4.03244,57.6463,10.3604
1777909020617,-0.045628,0.674172,0.889868,0.489057,0.522952,-1.24173,3.67675,57.1966,10.5087
1777909020677,-0.294752,0.671976,0.722484,-0.0436178,-0.97886,-0.888647,3.0226,56.9041,10.6862
1777909020754,-0.374296,0.698816,0.62342,0.0641999,0.256615,-0.558169,2.73448,56.5693,10.8253
1777909020815,-0.259128,0.731512,0.540948,-0.0982903,0.237372,0.0594156,2.02798,56.2286,10.9955
1777909020875,-0.233996,0.728828,0.64416,-0.163347,1.02905,0.420132,1.50759,56.0569,11.0336
1777909020935,-0.13542,0.688324,0.73688,-0.150214,1.04921,0.826662,0.91767,55.8299,11.2237
1777909020995,-0.150548,0.679296,0.7686,-0.0824078,1.25324,0.94517,-0.433464,55.8443,10.7933
1777909021055,-0.04636,0.604632,0.846436,-0.408915,1.04249,1.2338,-1.14477,55.9399,10.4239
1777909021081,0.00854,0.570472,0.800076,-0.181368,1.00798,1.21639,-1.71382,56.0163,10.1283
1777909021090,0.018056,0.565104,0.78934,-0.166707,1.00004,1.20296,-2.16905,56.0774,9.89183
1777909021151,0.051484,0.59902,0.742248,-0.240011,0.88153,1.16966,-2.58924,56.3615,9.70267
1777909021210,0.095404,0.57462,0.749568,-0.243982,0.877865,0.98732,-2.77419,56.5944,9.19573
1777909021288,0.152012,0.5307,0.820816,-0.590648,0.756913,0.830022,-2.96696,56.9656,8.79859
1777909021351,0.306708,0.513132,0.893284,-0.557356,0.971022,0.83552,-3.74836,57.0272,8.55087
1777909021411,0.276208,0.551196,0.9394,-0.520093,0.281966,0.373095,-3.76869,56.9814,8.5123
1777909021422,0.264496,0.565348,0.92964,-0.394865,0.241954,0.343468,-3.78495,56.9447,8.48144
